[ERROR] - 2017-01-08 15:24:50,439 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-08 15:24:50,646 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-08 15:24:50,723 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-08 15:24:51,215 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-08 15:24:55,223 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-08 15:24:55,381 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-08 15:24:55,445 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-11 16:06:00,350 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-11 16:06:00,681 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-11 16:06:01,133 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-11 16:06:01,473 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
